"Stock Code","Description","Unit"
"AUBG000063","Trans Wood Lock Liniment      Extra Strength (Pharm)","KG"
"AUBG000064","Kangaroo 1000mg Hard Shell    Capsules (Brown) (Non-pharm)","CAPS"
"AUBG000067","Royal Jelly 400mg HS Cap","CAPS"
"AUBG000068","Baby Sheep 1000mg Hard Shell  Capsules (Placenta Yellow)    (Non-pharm)","CAPS"
"AUBG000069","Korda Monascus Purpureus      300mg HS Cap","CAPS"
"AUBG000070","Royal Jelly 500mg HS Cap","CAPS"
"AUBG000074","Ginkgo 3000mg HS Capsules     (Non-pharm)","CAPS"
"AUBG000075","Baby Sheep 1000mg Hard Shell  Capsules (Yellow) (Non-pharm)","CAPS"
"AUBG000077","Ginkgo 2000mg Tablets","TABS"
"AUBG000079","Colostrum 10 mg IgG Tablets   Round 820mg ATW               (Pharm)","TABS"
"AUBG000081","Propolis Powder Mix 5:1","KG"
"AUBG000082","Colostrum 60mg IgG Tablets    Round 820mg ATW (Pharm)","TABS"
"AUBG000083","Baby Sheep 1000mg Hard Shell  Capsules (Placentra Yellow)   (Non-pharm)","CAPS"
"AUBG000085","Baby Sheep 1000mg Hard Shell  Capsules (White)              (Non-pharm)","CAPS"
"AUBG000086","ABL Grape Seed Hard Shell     Capsules (Non-pharm)","CAPS"
"AUBG000087","Baby Sheep 1000mg HS          Capsules (Orange)             (Non-pharm)","CAPS"
"AUBG000088","ABL Lecithin & St Mary Herb   HS Capsules (Non-pharm)","CAPS"
"AUBG000094","Chitosan 250mg Hard Shell     Capsules (Non-pharm)","CAPS"
"AUBG000098","Spirulina 475mg HS Cap (BULK)","CAPS"
"AUBG000099","Colostrum 15mg IgG Tablets    (Bear) (NZ) (Non-pharm)","TABS"
"AUBG000100","Baby Sheep 1,000mg            Hard Shell Capsules (Maroon)  (Non-pharm)","CAPS"
"AUBG000102","Mothernest 750mg AFW          Joint Formula HS Cap (BULK)","CAPS"
"AUBG000105","Baby Sheep 1,000mg HS CapsulesYellow (Red Print Green Logo) (Non-pharm)","CAPS"
"AUBG000109","Goat's Milk 250mg Tablets     (Orange) 725mg ATW (BULK)","TABS"
"AUBG000111","Bee Pollen & Spirulina Hard   Shell Capsules (Non-pharm)","CAPS"
"AUBG000112","Milk Tablets 250mg Strawberry (BULK)","TABS"
"AUBG000114","Goat's Milk 250mg Tablet 725mgATW (Strawberry) (BULK)","TABS"
"AUBG000115","Milk Tablets 250mg (Orange)   (BULK)","TABS"
"AUBG000116","Liver Tonic HS Capsules (BULK)","CAPS"
"AUBG000117","Milk Tablets 250mg (Chocolate)(BULK)","TABS"
"AUBG000119","Placenta Cream (BULK)","KG"
"AUBG000120","Milk Tablets 250mg (Plain)    (BULK)","TABS"
"AUBG000121","Kangaroo 1000mg HS Capsules   (Maroon & AUST Logo)          (Non-pharm)","CAPS"
"AUBG000122","Placenta 4000mg HS Cap        (Placenta Shell) (BULK)","CAPS"
"AUBG000123","Goat's Milk 250mg Tablet 725mgATW (Chocolate) (BULK)","TABS"
"AUBG000124","J&B Placenta 2,000mg HS Cap   (J & B Printed) (BULK)","CAPS"
"AUBG000128","Goat's Milk 200mg Tablets     (Strawberry) (Non-pharm)","TABS"
"AUBG000131","Goat's Milk 250mg Tablets     725mg ATW (Plain) (BULK)","TABS"
"AUBG000133","Placenta 4000mg HS Cap        (Maroon Shell) (BULK)","CAPS"
"AUBG000134","Chitosan & Psyllium Fibre     (Opal)","KG"
"AUBG000135","Goat's Milk 200mg Tablets     (Chocolate) (Non-pharm)","TABS"
"AUBG000138","Goat's Milk 250mg Tablet 725mgATW (Propolis Flavoured) BULK","TABS"
"AUBG000141","Propolis 300mg/mL Tincture    with Manuka Honey (BULK)","KG"
"AUBG000142","Colostrum 25mg IgG Tablets    (Round) (U) (Non-pharm)","TABS"
"AUBG000145","Goat's Milk 200mg Tablets     (Orange) 725mg ATW (BULK)","TABS"
"AUBG000146","Colostrum 12mg IGG Tablets    Caplet 1000mg ATW (BULK)","TABS"
"AUBG000147","Goat' Milk 200mg Tablets 725mgATW (Propolis Flavoured) BULK","TABS"
"AUBG000150","Goat's Milk 200mg Tablets     (Plain) (Non-pharm)","TABS"
"AUBG000153","Milk Tablets 250mg Propolis   Flavoured (BULK)","TABS"
"AUBG000154","Royal Jelly 500mg (equiv 4%)  HS Cap(Mothernest & Logo) BULK(BULK)","CAPS"
"AUBG000155","Milk Tablets 350mg (Chocolate)(BULK)","TABS"
"AUBG000156","South Aust Shark Cartilage    500mg HS Cap (BULK)","CAPS"
"AUBG000157","Propolis 60mg/g Ointment      (BULK)","KG"
"AUBG000158","Milk Tablets 350mg Strawberry (BULK)","TABS"
"AUBG000159","Baby Sheep 2500mg HS Capsules (Placentra Yellow)            (Non-pharm)","CAPS"
"AUBG000160","Milk Tablets 350mg (Orange)   (BULK)","TABS"
"AUBG000162","Milk Tablets 350mg (Plain)    (BULK)","TABS"
"AUBG000163","Mothernest Shark Cartilage    500mg HS Cap (BULK)","CAPS"
"AUBG000164","Colostrum 45mg IgG Tablets    820mg ATW (BULK)","TABS"
"AUBG000165","Milk Tablets 350mg            (Propolis Flavoured) (BULK)","TABS"
"AUBG000166","Placenta 2,500mg & Colostrum  20mg IgG HS Cap (BULK)","CAPS"
"AUBG000167","Kangaroo 2500mg Hard Shell    Capsules (Maroon)             (Non-pharm)","CAPS"
"AUBG000168","Maxbal Libidone Hard Shell    Capsules (Pharm)","CAPS"
"AUBG000171","Baby Sheep 2500mg Hard Shell  Capsules (Maroon)             (Non-pharm)","CAPS"
"AUBG000172","Mothernest Royal Jelly 500mg  AFW HS Cap (BULK)","CAPS"
"AUBG000173","J&B Ginseng 2000mg            Hard Shell Capsules (BULK)","CAPS"
"AUBG000174","Propolis 120mg/g Ointment     (BULK)","KG"
"AUBG000175","ABL Kava 3000mg with          Lecithin HS Cap (BULK)","CAPS"
"AUBG000176","Homeopathic Melatonin 3mg     (5X) Tablets (Non-pharm)","TABS"
"AUBG000177","Propolis 600mg/mL Liquid      (Pharm)","KG"
"AUBG000180","Nirvana Stevia 360mg Tablets  165mg ATW (Pharm)","TABS"
"AUBG000181","Planetary Amla Plus 300mg     Hard Shell Capsules           (Non-Pharm)","CAPS"
"AUBG000182","Kangaroo 2500mg Hard Shell    Capsules (Brown) (Non-pharm)","CAPS"
"AUBG000183","Baby Sheep 2500mg HS Capsules Placentra Yellow & Logo       (Non-pharm)","CAPS"
"AUBG000186","Grape Seed 12000mg            Hard Shell Capsules           (Pharm)","CAPS"
"AUBG000187","Mutivitamin Tablet 800mg      ATW (BULK)","TABS"
"AUBG000188","Propolis 1000mg Hard Shell    Capsules (Clear) (Pharm)","CAPS"
"AUBG000189","Royal Jelly 600mg AFW HS Cap  Type One (BULK)","CAPS"
"AUBG000190","Baby Sheep 2500mg HS          Capsules (Light Yellow)       (Non-pharm)","CAPS"
"AUBG000192","Shark Cartilage 500mg HS      Capsules (Aust Logo) (Pharm)","CAPS"
"AUBG000194","Kangaroo 2500mg HS Capsules   (Maroon & AUST Logo)          (Non-pharm)","CAPS"
"AUBG000195","Multivitamin & Minerals Tablet800mg ATW (BULK)","TABS"
"AUBG000196","Placenta 2,500mg HS Capsules  Placentra & logo (BULK)","CAPS"
"AUBG000198","Colostrum 25mg IgG Tablets    820mg ATW Type One (BULK)","TABS"
"AUBG000199","Kangaroo 6000mg HS Capsules   (Maroon '00' & Logo)          (Non-pharm)","CAPS"
"AUBG000200","Natures Gold Shark Cartilage  500mg HS Cap (BULK)","CAPS"
"AUBG000201","Spirulina 500mg Tablet 725mg  ATW (BULK)","TABS"
"AUBG000202","Chitosan 400mg Tablet 600mg   ATW (BULK)","TABS"
"AUBG000203","Colostrum 25mg IgG Tablets    820mg ATW Type Two (BULK)","TABS"
"AUBG000207","Baby Sheep 5000mg HS          Capsules (Placentra Yellow 00)(Non-pharm)","CAPS"
"AUBG000208","Goat' Milk with Colostrum     10mg IgG Tablets 820mg ATW","TABS"
"AUBG000209","Glucosamine 500mg Plus        Caplets 1250mg ATW (BULK)","TABS"
"AUBG000211","Colostrum 12mg IgG            Caplets 1000mg ATW Type One   (BULK)","TABS"
"AUBG000213","Shark Cartilage 500mg         HS Cap with Aust Logo (BULK)","CAPS"
"AUBG000214","Colostrum 10mg Tablets Round  820mg ATW Type One (BULK)","TABS"
"AUBG000215","Calcium Enriched Colostrum    Powder Mix (BULK)","KG"
"AUBG000216","Propolis 200mg/mL Liquid      with Querctin (BULK)","KG"
"AUBG000217","Super Nature Gingko 2,500mg   Hard Shell Capsules (BULK)","CAPS"
"AUBG000218","Propolis 250mg/mL Liquid with Querctin (BULK)","KG"
"AUBG000220","Propolis 300mg/mL Liquid      with Querctin (BULK)","KG"
"AUBG000221","GOAT LOGO Milk Tablets 250mg  Plain (BULK)","TABS"
"AUBG000223","GOAT LOGO Milk Tablets 250mg  Strawberry (BULK)","TABS"
"AUBG000225","RBK Shark Cartilage 500mg     Hard Shell Clear Caps (BULK)","CAPS"
"AUBG000226","Propolis 600mg/mL Liquid      with Querctin (BULK)","KG"
"AUBG000227","GOAT LOGO Milk Tablets 250mg  Orange (BULK)","TABS"
"AUBG000228","Propolis 200mg/mL Tincture    with Querctin (BULK)","KG"
"AUBG000229","GOAT LOGO Milk Tablets 250mg  Chocolate (BULK)","TABS"
"AUBG000230","Propolis 250mg/mL Tincture    with Querctin (BULK)","KG"
"AUBG000232","Propolis 300mg/mL Tincture    with Querctin (BULK)","KG"
"AUBG000234","Propolis 400mg/mL Tincture    with Querctin (BULK)","KG"
"AUBG000235","Placenta 3,000mg Hard Shell   Capsules Light Yellow (BULK)","CAPS"
"AUBG000236","Propolis 500mg/mL Tincture    with Querctin (BULK)","KG"
"AUBG000238","Propolis 600mg/mL Tincture    with Querctin (BULK)","KG"
"AUBG000239","Kangaroo 2500mg Hard Shell    Capsules Brown (BULK)","CAPS"
"AUBG000240","Propolis Lozenge (BULK)","TABS"
"AUBG000241","Kangaroo Group Arthritis      Hard Shell Capsules (BULK)","CAPS"
"AUBG000242","Colostrum 25mg IgG            Plus Zinc Tablet 820mg ATW","TABS"
"AUBG000244","ABL/Opal Kangaroo 250mg &     Baby Sheep 500mg HS Capsules  (Maroon & Logo) (Non-pharm)","CAPS"
"AUBG000247","Squalene Jube Mango           (BULK)","KG"
"AUBG000248","Mothernest (Standard)         Shark Cartilage 500mg         Hard Shell Capsules (BULK)","CAPS"
"AUBG000249","ABL/OPAL Crocodile 1000mg     HS Capsules (Non-pharm)","CAPS"
"AUBG000250","Colostrum 60mg IgG            Hard Shell Capsules           (Clear) (BULK)","CAPS"
"AUBG000251","Wheat Grass Powder","KG"
"AUBG000254","Gingko 3,000 mg Tablets       650mg ATW (BULK)","TABS"
"AUBG000255","Colostrum 75mg IgG Tablets    820mg ATW (BULK)","TABS"
"AUBG000258","Propolis 1000mg Hard Shell    Capsules Clear (BULK)","CAPS"
"AUBG000260","Koda Cordymax Hard Shell      Capsules (BULK)","CAPS"
"AUBG000262","RBK Osteo Hard Shell Capsules (BULK)","CAPS"
"AUBG000264","ABL St. John's Wort  HS       Capsules (Non-pharm)","CAPS"
"AUBG000265","Barley Grass Powder","KG"
"AUBG000266","Colostrum 45mg IgG Tablets    820mg ATW Standard            (Pharm)","TABS"
"AUBG000267","Homart Ginkgo 2000mg Tablets  (BULK)","TABS"
"AUBG000269","ABL Baby Sheep & Royal Jelly  10 in 1 HS Capsules           (Non-pharm)","CAPS"
"AUBG000270","Proudex Royal Jelly Hard ShellCapsules (Pharm)","CAPS"
"AUBG000271","Eucalyptus Propolis 400mg/mL  Tincture (BULK)","KG"
"AUBG000279","Eucalyptus Propolis 600mg/mL  Liquid (BULK)","KG"
"AUBG000285","Soy Protein Powder Vanilla    (BULK)","KG"
"AUBG000286","Propolis Powder Mix 1:1","KG"
"AUBG000287","Colostrum 12mg IgG Tablets    820mg ATW Type Two","TABS"
"AUBG000288","Goat's Milk 200mg Tablets     900mg ATW Plain","TABS"
"AUBG000294","Propolis 500mg/mL Tincture    (Pharm)","KG"
"AUBG000299","Kangaroo 2000mg HS Capsules   (Maroon Print & Aust Logo)    (Non-pharm)","CAPS"
"AUBG000301","Placenta 4000mg Hard Shell    Capsules (Yellow Red Print    Green Logo)","CAPS"
"AUBG000303","Kangaroo 2,500mg Hard Shell   Capsule (Maroon) (BULK)","CAPS"
"AUBG000306","J&B Soy Isoflavones Hard ShellCapsules (Non-pharm)","CAPS"
"AUBG000308","ABL Colostrum Milk Powder     (Non-pharm)","KG"
"AUBG000309","Baby Sheep 3000mg Hard Shell  Capsules (Placentra & Logo)   (Non-pharm)","CAPS"
"AUBG000312","Placenta 5000mg/mL            Liquid (Non-pharm)","KG"
"AUBG000316","Soy & Egg Protein Powder      (Non-pharm)","KG"
"AUBG000317","Eucalyptus Propolis 400mg     Liquid","KG"
"AUBG000318","Procol Hard Shell Capsules    (BULK)","CAPS"
"AUBG000320","J&B Anserine                  Hard Shell Capsules (BULK)","CAPS"
"AUBG000337","Cassia 500mg                  Hard Shell Capsules (BULK)","CAPS"
"AUBG000338","Abalone 500mg Hard Shell      Capsules (Clear & Logo)       (Non-pharm)","CAPS"
"AUBG000339","Goat's Milk Tablets           Propolis Flavoured (Childrens)(BULK)","TABS"
"AUBG000340","Soya Complex Nutrition        Hard Shell Capsules           (Non-pharm)","CAPS"
"AUBG000341","ABL / Opal Propolis 500mg     &Ganoderma Lucidum HS Capsules(Non-pharm)","CAPS"
"AUBG000342","Aurinda Protein Powder        (Non-pharm)","KG"
"AUBG000343","Colostrum 60mg IgG Tablets    1100mg ATW (BULK)","TABS"
"AUBG000346","J & B Placenta 3,000mg        Hard Shell Capsules (BULK)","CAPS"
"AUBG000347","Colostrum Milk Powder         (Non-pharm)","KG"
"AUBG000348","Grape Seed 13,000mg Tablets   (BULK)","TABS"
"AUBG000349","Zen Green Powder (Non-pharm)","KG"
"AUBG000351","E-MIU-BO Emu Liniment (Pharm)","KG"
"AUBG000352","Bee Pollen 500mg Tablets      (BULK)","TABS"
"AUBG000356","Linmed Herbal Anti-stress     Hard Shell Capsules (Pharm)","CAPS"
"AUBG000357","Primal Maca 500mg Hard Shell  Capsules (Non-pharm)","CAPS"
"AUBG000358","Bee Pollen 450mg              Hard Shell Capsules (BULK)","CAPS"
"AUBG000359","Propolis 500mg & Aloe Vera    6,000mg Hard Shell Capsules   (BULK)","CAPS"
"AUBG000362","Bio Nutrix 1,000mg            Hard Shell Capsule White      (BULK)","CAPS"
"AUBG000364","RBK Royal Jelly 500mg (7%)    Hard Shell Capsules           (Non-pharm)","CAPS"
"AUBG000366","Bee Man Placenta Liquid       Extract (For Cosmetic Use)","KG"
"AUBG000367","Garlic & Propolis Hard Shell  Capsules (Non-pharm)","CAPS"
"AUBG000370","Placenta 5,000mg              Hard Shell Capsules           (Light Yellow 0)","CAPS"
"AUBG000373","Baby Sheep 5000mg             Hard Shell Capsules (Maroon)  (Non-pharm)","CAPS"
"AUBG000375","Colostrum 45mg IgG Tablets    (Sorbitol) 775mg ATW","TABS"
"AUBG000376","Colostrums 45mg IgG tablet    775mg ATW","TABS"
"AUBG000400","Colostrum 10mg + 25mg Ascorbic","KG"
"AUBG000401","Shark Cartilage 450mg +       25mg Ascorbic","KG"
"AUBG000409","Colostrum 45mg IgG Plus       0.1mg Zinc Tablets            (Non-Pharm)","TABS"
"AUBG000410","Spirulina 400mg Tablets       750mg ATW","TABS"
"AUBG000412","Concord Vita-Cordy Hard Shell Capsules (Pharm)","CAPS"
"AUBG000414","Abalone Plus Spirulina HS     Capsules (Brown) (Non-pharm)","CAPS"
"AUBG000415","Concord Sunchih Premium GPSP  Hard Shell Capsules (Pharm)","CAPS"
"AUBG000416","Glucosamine Plus Hard Shell   Capsules (Clear)  (Pharm)","CAPS"
"AUBG000419","Concord Sunchih GPSP          Hard Shell Capsules (Pharm)","CAPS"
"AUBG000424","Concord Sunchih Bee Plus      Hard Shell Capsules (BULK)","CAPS"
"AUBG000425","Vaporiser Cleaner Tablets     (Non-Pharm)","TABS"
"AUBG000429","Aust Bee Product Propolis     1000mg Tablets 350mg ATW      (Non-pharm)","TABS"
"AUBG000430","Marine Collagen Hard Shell    Capsules (Non-pharm)","CAPS"
"AUBG000431","Spirulina 500mg Tablets       (Non-pharm)","TABS"
"AUBG000432","Astragrace Green Lipped MusselHard Shell Capsules (BULK)","CAPS"
"AUBG000433","Spirulina 450mg Hard Shell    (Vegetable) Capsules (BULK)","CAPS"
"AUBG000434","Opal Health Appetite          Suppressant HS Capsules       (Non-pharm)","CAPS"
"AUBG000435","Opal Health Detox Hard Shell  Capsules (Non-pharm)","CAPS"
"AUBG000436","Glucosamine Sulphate Complex  1000mg HS Capsules (Pharm)","CAPS"
"AUBG000437","Spirulina 425mg Hard Shell    Capsules (Non-pharm)","CAPS"
"AUBG000438","Maxbal Soundsleep             Hard Shell capsules","CAPS"
"AUBG000439","Bee Vita- 3 plus HS Capsules","CAPS"
"AUBG000440","Green Lipped Mussel           Hard Shell Capsules (Pharm)","CAPS"
"AUBG000441","A&G Ganoderma Lucidum         Hard Shell Capsules           (Non-pharm)","CAPS"
"AUBG000442","Marine Collagen Hard Shell    Capsules (White) (Non-pharm)","CAPS"
"AUBG000443","Cordyceps 400mg               Hard Shell Capsule (BULK)","CAPS"
"AUBG000444","Royal Jelly Hard Shell        Capsules (Non-pharm)","CAPS"
"AUBG000445","Valerian Plus Hops Hard Shell Capsules (Non-pharm)","CAPS"
"AUBG000447","Baby Sheep 5000mg Hard Shell  Capsules (00 Clear)           (Non-pharm)","CAPS"
"AUBG000449","Propolis 200mg in Polysorbate","KG"
"AUBG000500","Concord Royal Jelly           1000mg Tablets 700mg ATW","TABS"
"AUBG000502","Propolis 500mg mL in          Polysorbate","KG"
"AUBG000504","Graminex Magnus Prime Hard    Shell Capsules (Pharm)","CAPS"
"AUBG000505","A&G Bilberry 1000mg Tablets   700mg ATW (Non-pharm)","TABS"
"AUBG000508","Feel Good ARTR-EZE            Hard Shell Capsules","CAPS"
"AUBG000510","Colostrum 25mg IgG            Tablets Oval 820mg ATW","TABS"
"AUBG000512","Kangaroo 3000mg HS Capsules   (Maroon '00' & Logo)          (Non-pharm)","CAPS"
"AUBG000513","Standard Milk Powder with     Colostrum (U) (Non-pharm)","KG"
"AUBG000515","Colostrum 25mg IgG Tablets    Oval (Low Milk) 950mg ATW     (Non-pharm)","TABS"
"AUBG000516","Revita Joint Repair Plus      HS Capsules (Pharm)","CAPS"
"AUBG000517","ABL Baby Sheep 7000mg         HS Capsules (Non-pharm)","CAPS"
"AUBG000518","ABL Kangaroo 5000mg & Baby    Sheep 1500mg HS Capsules      (Maroon & Logo 00) (Non-pharm)","CAPS"
"AUBG000519","Goats Milk Tablet (Blackberry)","KG"
"AUBG000520","Male Power Hard Shell Capsules(Pharm)","CAPS"
"AUBG000521","A & G Lycopene HS Capsules    (Non-pharm)","CAPS"
"AUBG000522","Spirulina 400mg & Green Tea   200mg HS Capsules             (Non-pharm)","CAPS"
"AUBG000523","Royal Jelly 500mg (6%) HS Caps(Gelatin) (Pharm)","CAPS"
"AUBG000524","Harmex Glucosamine Mega Plus  Hard Shell Capsules (Pharm)","CAPS"
"AUBG000525","Royal Jelly 500mg (6%) HS Caps(Vegetable) (Pharm)","CAPS"
"AUBG000526","Propolis 350mg & Ganoderma    Lucidum HS Capsules","CAPS"
"AUBG000527","Goats Milk with 10%           Colostrum Powder","KG"
"AUBG000528","Harmex Co-Enzyme Q-10 Plus    Hard Shell Capsules (Pharm)","CAPS"
"AUBG000529","Goats Milk 200mg Tablets      Banana 725mg ATW","TABS"
"AUBG000530","Baby Sheep Placenta 1000mg    Hard Shell Capsules","CAPS"
"AUBG000531","Concord PSP Hard Shell        Capsules (Pharm)","CAPS"
"AUBG000533","Concord Sunchih Bee Plus      Hard Shell Capsules","CAPS"
"AUBG000535","Concord CD4 HS Caps (Pharm)","CAPS"
"AUBG000536","Allife CD4 Plus+ Hard Shell   Capsules (Pharm)","CAPS"
"AUBG000537","Royal Jelly 500mg (6%) HS Caps(Gelatin) (Non-Pharm)","CAPS"
"AUBG000538","Opal Health                   Coriolus Versicolor 3000mg    HS Capsules (Non-pharm)","CAPS"
"AUBG000540","Colostrum 10mg IgG Tablet     Round 820mg ATW (Non-Pharm)","TABS"
"AUBG000543","Omega 3 1000mg + Vit E Soft   Gel Capsules (Non-pharm)","CAPS"
"AUBG000544","ABL Royal Jelly & Sheep       Placenta HS Caps (Non-Pharm)","CAPS"
"AUBG000545","Solutions 4 Health Oil of WildOregano (Pharm)","KG"
"AUBG000546","Royal Jelly 1000mg (1.1%)     SG Capsules (Non-pharm)","CAPS"
"AUBG000547","Concord/Allife Spirulina 450mgHard Shell Capsules           (Non-Pharm)","CAPS"
"AUBG000548","Gelatine Premix (Clear)       For Soft Gel Caps (Non-Pharm)","KG"
"AUBG000549","Royal Jelly 500mg (6%) HS Caps(Vegetable) (Non-Pharm)","CAPS"
"AUBG000551","Nirvana Stevia 360mg Tablets  165mg ATW (Non-pharm)","TABS"
"AUBG000552","Omega 3 (18/12) 1000mg SG     Capsules (Non-pharm)","CAPS"
"AUBG000553","Concord/Allife Pine Pollen    300mg Hard Shell Capsules     (Non-Pharm)","CAPS"
"AUBG000555","Maximum Balance Cordyceps     400mg HS Capsules (Pharm)","CAPS"
"AUBG000556","Concord/Allife Chitosan 450mg Hard Shell Capsules           (Non-Pharm)","CAPS"
"AUBG000558","Baby Sheep 3000mg Soft Gel    Capsules (Non-pharm)","CAPS"
"AUBG000559","Opal Health Agaricus Blazei   3000mg HS Capsules            (Non-pharm)","CAPS"
"AUBG000560","Royal Jelly 1000mg (0.5%)     SG Capsules (Non-pharm)","CAPS"
"AUBG000561","Baby Sheep 5000mg HS          Capsules (Placentra & Logo)   (Non-pharm)","CAPS"
"AUBG000562","Colostrum 50mg IgG            Caplet 1000mg ATW             (Pharm)","TABS"
"AUBG000563","Maxbal Goldenage-3s           Hard Shell Capsules           (Pharm)","CAPS"
"AUBG000565","Concord (Allife) Seabuckthorn Oil 150mg SG Capsules         (Non-pharm)","CAPS"
"AUBG000566","Baby Sheep 5000mg HS          Capsules (Clear)              (Non-pharm)","CAPS"
"AUBG000567","Colostrum 50mg IgG            Caplet 1000mg ATW             (Non-pharm)","TABS"
"AUBG000569","Royal Jelly 500mg (6%)        Hard Shell Capsules           (Pharm)","CAPS"
"AUBG000570","Concord / Allife Bio L4       Hard Shell Capsules (Pharm)","CAPS"
"AUBG000571","Omega 3 1000mg + Vit E 5mg    Soft Gel Capsules (Non-pharm)","CAPS"
"AUBG000574","RBK Royal Jelly 500mg (7%)    HS Capsules (Antibiotic Free) (Non-pharm)","CAPS"
"AUBG000575","Opal Health Cordyceps         (Cephalosporum) 450mg         HS Capsules (Non-pharm)","CAPS"
"AUBG000576","Baby Sheep 12000mg Soft Gel   Capsules (Non-pharm)","CAPS"
"AUBG000577","Concord / Allife Cordy Plus   Hard Shell Capsules (Pharm)","CAPS"
"AUBG000578","Olivenol Livin Youthful Hard  Shell Capsules (Vegetable)    (Pharm)","CAPS"
"AUBG000579","Opal Health Ganoderma 375mg   Hard Shell Capsules           (Non-pharm)","CAPS"
"AUBG000580","Colostrum 50mg IgG Tablets    Oval 1200mg ATW               (Non-pharm)","TABS"
"AUBG000581","Opal Health Glucosamine Plus  HS Capsules (White)           (Non-pharm)","CAPS"
"AUBG000582","Nature's Way Premium (Bilis)  Shark Cartilage 440mg         HS Capsules (Non-pharm)","CAPS"
"AUBG000583","Grape Seed 12000mg HS Capsules(Without Vit C) (Pharm)","CAPS"
"AUBG000584","Miracle Life Glucosamine &    Chondroitin Tablets (Pharm)","TABS"
"AUBG000585","Colostrum 45mg IgG Tablets    820mg ATW Standard            (Non-pharm)","TABS"
"AUBG000586","Grape Seed 12000mg HS         Capsules (Non-pharm)","CAPS"
"AUBG000587","Bronx Wild Bull Tribulus      Tablets (Core) (Pharm)","TABS"
"AUBG000588","Bronx Wild Bull Tribulus      Tablets (Coated) (Pharm)","TABS"
"AUBG000589","Lior Red Grape Seed 12000mg   HS Capsules (Pharm)","CAPS"
